Part Number,List Price,MAP Price,Currency,Product Type,Product Category,Product Sub Category,Product Sub Category Type,Product Model/Type,Product Friendly Name,Item Type,Short Marketing Description,Marketing Product Type,Feature Bullet 1,Feature Bullet 2,Feature Bullet 3,Feature Bullet 4,Feature Bullet 5,Image URL,Discount Group,Product Access Code,Spec Sheet URL,Status,Upcoming EOL date,TAA Compliant,GTIN
"03400BK11045","171.240000","","EUR","Supplies","Barcode Supplies","Barcode Ribbons","Wax/Resin","3400WaxResin","3400 Wax/Resin","Supplies","Wax/Resin Ribbon, 110mmx450m, 3400; High Performance, 25mm core, 6/box","Printing Supplies","The 3400 high-performance wax/resin ribbon achieves print speeds of up to 200mm/sec (8ips) even with rotated barcodes.","The 3400 wax/resin achieves print speeds of up to 200mm/sec (8ips) even with rotated barcodes.","The additional resin content provides scratch and smear resistance for labelling of high-ticket items and labels exposed to moderate heat, friction and abrasion.","Commonly used for automotive labelling, steel mill tagging and synthetic labelling of higher value capital goods.","A high-performance wax/resin ribbon for printing dense and durable images oncoated paper labels and many matte synthetics.","https://www.zebra.com/content/dam/zebra_dam/global/photography/product/0022/3400-ribbon-25.4core-102mmod-supplies-desktop-photography-product.jpg","S1","1-Open","","Production","","","",
"03400BK13145","203.940000","","EUR","Supplies","Barcode Supplies","Barcode Ribbons","Wax/Resin","3400WaxResin","3400 Wax/Resin","Supplies","Wax/Resin Ribbon, 131mmx450m, 3400; High Performance, 25mm core, 6/box","Printing Supplies","The 3400 high-performance wax/resin ribbon achieves print speeds of up to 200mm/sec (8ips) even with rotated barcodes.","The 3400 wax/resin achieves print speeds of up to 200mm/sec (8ips) even with rotated barcodes.","The additional resin content provides scratch and smear resistance for labelling of high-ticket items and labels exposed to moderate heat, friction and abrasion.","Commonly used for automotive labelling, steel mill tagging and synthetic labelling of higher value capital goods.","A high-performance wax/resin ribbon for printing dense and durable images oncoated paper labels and many matte synthetics.","https://www.zebra.com/content/dam/zebra_dam/global/photography/product/0022/3400-ribbon-25.4core-110mm-220mmod-supplies-desktop-2-photography-product.jpg","S1","1-Open","","Production","","","",
"03400BK06045","93.240000","","EUR","Supplies","Barcode Supplies","Barcode Ribbons","Wax/Resin","3400WaxResin","3400 Wax/Resin","Supplies","Wax/Resin Ribbon, 60mmx450m, 3400; High Performance, 25mm core, 6/box","Printing Supplies","The 3400 high-performance wax/resin ribbon achieves print speeds of up to 200mm/sec (8ips) even with rotated barcodes.","The 3400 wax/resin achieves print speeds of up to 200mm/sec (8ips) even with rotated barcodes.","The additional resin content provides scratch and smear resistance for labelling of high-ticket items and labels exposed to moderate heat, friction and abrasion.","Commonly used for automotive labelling, steel mill tagging and synthetic labelling of higher value capital goods.","A high-performance wax/resin ribbon for printing dense and durable images oncoated paper labels and many matte synthetics.","https://www.zebra.com/content/dam/zebra_dam/global/photography/product/0022/3400-ribbon-25.4core-450m-supplies-desktop-photography-product.jpg","S1","1-Open","","Production","","","",
"03400BK08945","138.480000","","EUR","Supplies","Barcode Supplies","Barcode Ribbons","Wax/Resin","3400WaxResin","3400 Wax/Resin","Supplies","Wax/Resin Ribbon, 89mmx450m, 3400; High Performance, 25mm core, 6/box","Printing Supplies","The 3400 high-performance wax/resin ribbon achieves print speeds of up to 200mm/sec (8ips) even with rotated barcodes.","The 3400 wax/resin achieves print speeds of up to 200mm/sec (8ips) even with rotated barcodes.","The additional resin content provides scratch and smear resistance for labelling of high-ticket items and labels exposed to moderate heat, friction and abrasion.","Commonly used for automotive labelling, steel mill tagging and synthetic labelling of higher value capital goods.","A high-performance wax/resin ribbon for printing dense and durable images oncoated paper labels and many matte synthetics.","https://www.zebra.com/content/dam/zebra_dam/global/photography/product/0017/3400-ribbon-tabletop-supplies-photography-product.jpg","S1","1-Open","","Production","","","",
"03400BK10245","158.640000","","EUR","Supplies","Barcode Supplies","Barcode Ribbons","Wax/Resin","3400WaxResin","3400 Wax/Resin","Supplies","Wax/Resin Ribbon, 102mmx450m, 3400; High Performance, 25mm core, 6/box","Printing Supplies","The 3400 high-performance wax/resin ribbon achieves print speeds of up to 200mm/sec (8ips) even with rotated barcodes.","The 3400 wax/resin achieves print speeds of up to 200mm/sec (8ips) even with rotated barcodes.","The additional resin content provides scratch and smear resistance for labelling of high-ticket items and labels exposed to moderate heat, friction and abrasion.","Commonly used for automotive labelling, steel mill tagging and synthetic labelling of higher value capital goods.","A high-performance wax/resin ribbon for printing dense and durable images oncoated paper labels and many matte synthetics.","https://www.zebra.com/content/dam/zebra_dam/global/photography/product/0022/3400-ribbon-25.4core-102mmod-supplies-desktop-photography-product.jpg","S1","1-Open","","Production","","","",
"03400BK08345","129.240000","","EUR","Supplies","Barcode Supplies","Barcode Ribbons","Wax/Resin","3400WaxResin","3400 Wax/Resin","Supplies","Wax/Resin Ribbon, 83mmx450m, 3400; High Performance, 25mm core, 6/box","Printing Supplies","The 3400 high-performance wax/resin ribbon achieves print speeds of up to 200mm/sec (8ips) even with rotated barcodes.","The 3400 wax/resin achieves print speeds of up to 200mm/sec (8ips) even with rotated barcodes.","The additional resin content provides scratch and smear resistance for labelling of high-ticket items and labels exposed to moderate heat, friction and abrasion.","Commonly used for automotive labelling, steel mill tagging and synthetic labelling of higher value capital goods.","A high-performance wax/resin ribbon for printing dense and durable images oncoated paper labels and many matte synthetics.","https://www.zebra.com/content/dam/zebra_dam/global/photography/product/0017/3400-ribbon-tabletop-supplies-photography-product.jpg","S1","1-Open","","Production","","","",
"03400BK22045","342.540000","","EUR","Supplies","Barcode Supplies","Barcode Ribbons","Wax/Resin","3400WaxResin","3400 Wax/Resin","Supplies","Wax/Resin Ribbon, 220mmx450m, 3400; High Performance, 25mm core, 6/box","Printing Supplies","The 3400 high-performance wax/resin ribbon achieves print speeds of up to 200mm/sec (8ips) even with rotated barcodes.","The 3400 wax/resin achieves print speeds of up to 200mm/sec (8ips) even with rotated barcodes.","The additional resin content provides scratch and smear resistance for labelling of high-ticket items and labels exposed to moderate heat, friction and abrasion.","Commonly used for automotive labelling, steel mill tagging and synthetic labelling of higher value capital goods.","A high-performance wax/resin ribbon for printing dense and durable images oncoated paper labels and many matte synthetics.","https://www.zebra.com/content/dam/zebra_dam/global/photography/product/0022/3400-ribbon-25.4core-110mm-220mmod-supplies-desktop-2-photography-product.jpg","S1","1-Open","","Production","","","",
"03400BK11005","0.000000","","EUR","Supplies","Barcode Supplies","Barcode Ribbons","Wax/Resin","3400WaxResin","3400 Wax/Resin","Supplies","Sample Wax Resin Ribbon, 110mmx50m, 3400; Performance, 25mm core","Printing Supplies","The 3400 high-performance wax/resin ribbon achieves print speeds of up to 200mm/sec (8ips) even with rotated barcodes.","The 3400 wax/resin achieves print speeds of up to 200mm/sec (8ips) even with rotated barcodes.","The additional resin content provides scratch and smear resistance for labelling of high-ticket items and labels exposed to moderate heat, friction and abrasion.","Commonly used for automotive labelling, steel mill tagging and synthetic labelling of higher value capital goods.","A high-performance wax/resin ribbon for printing dense and durable images oncoated paper labels and many matte synthetics.","https://www.zebra.com/content/dam/zebra_dam/global/photography/product/0022/3400-ribbon-25.4core-110mm-220mmod-supplies-desktop-2-photography-product.jpg","X1","1-Open","","Production","","","",
"03400BK15645","242.940000","","EUR","Supplies","Barcode Supplies","Barcode Ribbons","Wax/Resin","3400WaxResin","3400 Wax/Resin","Supplies","Wax/Resin Ribbon, 156mmx450m, 3400; High Performance, 25mm core, 6/box","Printing Supplies","The 3400 high-performance wax/resin ribbon achieves print speeds of up to 200mm/sec (8ips) even with rotated barcodes.","The 3400 wax/resin achieves print speeds of up to 200mm/sec (8ips) even with rotated barcodes.","The additional resin content provides scratch and smear resistance for labelling of high-ticket items and labels exposed to moderate heat, friction and abrasion.","Commonly used for automotive labelling, steel mill tagging and synthetic labelling of higher value capital goods.","A high-performance wax/resin ribbon for printing dense and durable images oncoated paper labels and many matte synthetics.","https://www.zebra.com/content/dam/zebra_dam/global/photography/product/0022/3400-ribbon-25.4core-110mm-220mmod-supplies-desktop-2-photography-product.jpg","S1","1-Open","","Production","","","",
"03400BK17445","270.900000","","EUR","Supplies","Barcode Supplies","Barcode Ribbons","Wax/Resin","3400WaxResin","3400 Wax/Resin","Supplies","Wax/Resin Ribbon, 174mmx450m, 3400; High Performance, 25mm core, 6/box","Printing Supplies","The 3400 high-performance wax/resin ribbon achieves print speeds of up to 200mm/sec (8ips) even with rotated barcodes.","The 3400 wax/resin achieves print speeds of up to 200mm/sec (8ips) even with rotated barcodes.","The additional resin content provides scratch and smear resistance for labelling of high-ticket items and labels exposed to moderate heat, friction and abrasion.","Commonly used for automotive labelling, steel mill tagging and synthetic labelling of higher value capital goods.","A high-performance wax/resin ribbon for printing dense and durable images oncoated paper labels and many matte synthetics.","https://www.zebra.com/content/dam/zebra_dam/global/photography/product/0022/3400-ribbon-25.4core-110mm-220mmod-supplies-desktop-2-photography-product.jpg","S1","1-Open","","Production","","","",
