Part Number,List Price,MAP Price,Currency,Product Type,Product Category,Product Sub Category,Product Sub Category Type,Product Model/Type,Product Friendly Name,Item Type,Short Marketing Description,Marketing Product Type,Feature Bullet 1,Feature Bullet 2,Feature Bullet 3,Feature Bullet 4,Feature Bullet 5,Image URL,Discount Group,Product Access Code,Spec Sheet URL,Status,Upcoming EOL date,TAA Compliant,GTIN
"02300BK10245","193.560000","","EUR","Supplies","Barcode Supplies","Barcode Ribbons","Wax","2300Wax","2300 Wax","Supplies","Wax Ribbon, 102mmx450m, 2300; Standard, 25mm core, 12/box","Printing Supplies","The 2300 ribbon is a standard wax ribbon offering good durability and high-quality rotated barcodes.","Suitable for printing on uncoated and coated paper labels and tags","Ability to print up to speeds of 304mm/sec (12ips) and 152mm/sec (6ips) for rotated barcodes","Recommended for use in general purpose labeling, shipping and receiving, inventory tracking, warehousing and distribution, and retail labels and tags","Wax ribbons work best with paper materials when fast print speeds are required, and in applications with little to no exposure to chemicals or abrasion.","https://www.zebra.com/content/dam/zebra_dam/global/photography/product/0022/2300-ribbon-25.4core-450m-supplies-photography-product.jpg","S1","1-Open","","Production","","","",
"02300CT11007","64.140000","","EUR","Supplies","Barcode Supplies","Barcode Ribbons","Wax","2300Wax","2300 Wax","Supplies","Wax Ribbon, 110mmx74m (4.33inx242ft), 2300; Standard, Cartridge ,6/box","Printing Supplies","Suitable for printing on uncoated and coated paper labels and tags","Excellent print quality when printing normal or rotated barcodes","Ability to print up to speeds of 304mm/sec (12ips) and 152mm/sec (6ips) for rotated barcodes","Excels when used with Zebra desktop printers","Recommended for use in general purpose labeling, shipping and receiving, inventory tracking, warehousing and distribution, and retail labels and tags","https://www.zebra.com/content/dam/zebra_dam/global/photography/product/0017/2300-ribbon-desktop-supplies-photography-product.jpg","S1","1-Open","","Production","","","",
"02300GS03307","20.400000","","EUR","Supplies","Barcode Supplies","Barcode Ribbons","Wax","2300Wax","2300 Wax","Supplies","Wax Ribbon, 33mmx74m, 2300; Standard, 12mm core, 12/box","Printing Supplies","The 2300 ribbon is a standard wax ribbon offering good durability and high-quality rotated barcodes.","Suitable for printing on uncoated and coated paper labels and tags","Ability to print up to speeds of 304mm/sec (12ips) and 152mm/sec (6ips) for rotated barcodes","Recommended for use in general purpose labeling, shipping and receiving, inventory tracking, warehousing and distribution, and retail labels and tags","Wax ribbons work best with paper materials when fast print speeds are required, and in applications with little to no exposure to chemicals or abrasion.","https://www.zebra.com/content/dam/zebra_dam/global/photography/product/0023/2300-ribbon-12mmcore-33mm-74m-supplies-photography-product.jpeg","S1","1-Open","","Production","","","",
"02300BK06030","77.400000","","EUR","Supplies","Barcode Supplies","Barcode Ribbons","Wax","2300Wax","2300 Wax","Supplies","Wax Ribbon, 60mmx300m, 2300; European Wax, 25mm core","Printing Supplies","The 2300 ribbon is a standard wax ribbon offering good durability and high-quality rotated barcodes.","Suitable for printing on uncoated and coated paper labels and tags","Ability to print up to speeds of 304mm/sec (12ips) and 152mm/sec (6ips) for rotated barcodes","Recommended for use in general purpose labeling, shipping and receiving, inventory tracking, warehousing and distribution, and retail labels and tags","Wax ribbons work best with paper materials when fast print speeds are required, and in applications with little to no exposure to chemicals or abrasion.","https://www.zebra.com/content/dam/zebra_dam/global/photography/product/0022/2300-ribbon-25.4core-300m-supplies-photography-product.jpg","S1","1-Open","","Production","","","",
"02300ZD25707","41.760000","","EUR","Supplies","Barcode Supplies","Barcode Ribbons","Wax","2300Wax","2300 Wax","Supplies","Wax Ribbon, 57mmx74m (2.24inx242ft), 2300; Standard, 12mm (0.5in) core","Printing Supplies","Suitable for printing on uncoated and coated paper labels and tags","Excellent print quality when printing normal or rotated barcodes","Ability to print up to speeds of 304mm/sec (12ips) and 152mm/sec (6ips) for rotated barcodes","Excels when used with Zebra desktop printers","Recommended for use in general purpose labeling, shipping and receiving, inventory tracking, warehousing and distribution, and retail labels and tags","https://www.zebra.com/content/dam/zebra_dam/global/photography/product/0017/2300-ribbon-desktop-supplies-photography-product.jpg","S1","1-Open","","Production","","","",
"02300BK22045","417.840000","","EUR","Supplies","Barcode Supplies","Barcode Ribbons","Wax","2300Wax","2300 Wax","Supplies","Wax Ribbon, 220mmx450m, 2300; Standard, 25mm core, 12/box","Printing Supplies","The 2300 ribbon is a standard wax ribbon offering good durability and high-quality rotated barcodes.","Suitable for printing on uncoated and coated paper labels and tags","Ability to print up to speeds of 304mm/sec (12ips) and 152mm/sec (6ips) for rotated barcodes","Recommended for use in general purpose labeling, shipping and receiving, inventory tracking, warehousing and distribution, and retail labels and tags","Wax ribbons work best with paper materials when fast print speeds are required, and in applications with little to no exposure to chemicals or abrasion.","https://www.zebra.com/content/dam/zebra_dam/global/photography/product/0022/2300-ribbon-25.4core-450m-supplies-photography-product.jpg","S1","1-Open","","Production","","","",
"02300GT11030","149.400000","","EUR","Supplies","Barcode Supplies","Barcode Ribbons","Wax","2300Wax","2300 Wax","Supplies","Wax Ribbon, 110mmx300m, 2300; European Wax, 25mm core, with notches for GT800 printer, 12/box","Printing Supplies","The 2300 ribbon is a standard wax ribbon offering good durability and high-quality rotated barcodes.","Suitable for printing on uncoated and coated paper labels and tags","Ability to print up to speeds of 304mm/sec (12ips) and 152mm/sec (6ips) for rotated barcodes","Recommended for use in general purpose labeling, shipping and receiving, inventory tracking, warehousing and distribution, and retail labels and tags","Wax ribbons work best with paper materials when fast print speeds are required, and in applications with little to no exposure to chemicals or abrasion.","https://www.zebra.com/content/dam/zebra_dam/global/photography/product/0017/2300-ribbon-desktop-supplies-photography-product.jpg","S1","1-Open","","Production","","","",
"02300BK08330","107.160000","","EUR","Supplies","Barcode Supplies","Barcode Ribbons","Wax","2300Wax","2300 Wax","Supplies","Wax Ribbon, 83mmx300m, 2300; European Wax, 25mm core","Printing Supplies","The 2300 ribbon is a standard wax ribbon offering good durability and high-quality rotated barcodes.","Suitable for printing on uncoated and coated paper labels and tags","Ability to print up to speeds of 304mm/sec (12ips) and 152mm/sec (6ips) for rotated barcodes","Recommended for use in general purpose labeling, shipping and receiving, inventory tracking, warehousing and distribution, and retail labels and tags","Wax ribbons work best with paper materials when fast print speeds are required, and in applications with little to no exposure to chemicals or abrasion.","https://www.zebra.com/content/dam/zebra_dam/global/photography/product/0022/2300-ribbon-25.4core-300m-supplies-photography-product.jpg","S1","1-Open","","Production","","","",
"02300BK08945","168.840000","","EUR","Supplies","Barcode Supplies","Barcode Ribbons","Wax","2300Wax","2300 Wax","Supplies","Wax Ribbon, 89mmx450m, 2300; Standard, 25mm core, 12/box","Printing Supplies","The 2300 ribbon is a standard wax ribbon offering good durability and high-quality rotated barcodes.","Suitable for printing on uncoated and coated paper labels and tags","Ability to print up to speeds of 304mm/sec (12ips) and 152mm/sec (6ips) for rotated barcodes","Recommended for use in general purpose labeling, shipping and receiving, inventory tracking, warehousing and distribution, and retail labels and tags","Wax ribbons work best with paper materials when fast print speeds are required, and in applications with little to no exposure to chemicals or abrasion.","https://www.zebra.com/content/dam/zebra_dam/global/photography/product/0022/2300-ribbon-25.4core-450m-supplies-photography-product.jpg","S1","1-Open","","Production","","","",
"02300BK11005","0.000000","","EUR","Supplies","Barcode Supplies","Barcode Ribbons","Wax","2300Wax","2300 Wax","Supplies","Sample Wax Ribbon, 110mmx50m, 2300; European Wax, 25mm core","Printing Supplies","The 2300 ribbon is a standard wax ribbon offering good durability and high-quality rotated barcodes.","Suitable for printing on uncoated and coated paper labels and tags","Ability to print up to speeds of 304mm/sec (12ips) and 152mm/sec (6ips) for rotated barcodes","Recommended for use in general purpose labeling, shipping and receiving, inventory tracking, warehousing and distribution, and retail labels and tags","Wax ribbons work best with paper materials when fast print speeds are required, and in applications with little to no exposure to chemicals or abrasion.","https://www.zebra.com/content/dam/zebra_dam/global/photography/product/0017/2300-ribbon-desktop-supplies-photography-product.jpg","X1","1-Open","","Production","","","",
"02300BK11090","208.920000","","EUR","Supplies","Barcode Supplies","Barcode Ribbons","Wax","2300Wax","2300 Wax","Supplies","Wax Ribbon, 110mmx900m, 2300; Standard, 25mm core, 6/box","Printing Supplies","The 2300 ribbon is a standard wax ribbon offering good durability and high-quality rotated barcodes.","Suitable for printing on uncoated and coated paper labels and tags","Ability to print up to speeds of 304mm/sec (12ips) and 152mm/sec (6ips) for rotated barcodes","Recommended for use in general purpose labeling, shipping and receiving, inventory tracking, warehousing and distribution, and retail labels and tags","Wax ribbons work best with paper materials when fast print speeds are required, and in applications with little to no exposure to chemicals or abrasion.","https://www.zebra.com/content/dam/zebra_dam/global/photography/product/0022/2300-ribbon-25.4core-900m-supplies-photography-product.jpg","S1","1-Open","","Production","","","",
"02300BK15690","296.280000","","EUR","Supplies","Barcode Supplies","Barcode Ribbons","Wax","2300Wax","2300 Wax","Supplies","Wax Ribbon, 156mmx900m, 2300; Standard, 25mm core, 6/box","Printing Supplies","The 2300 ribbon is a standard wax ribbon offering good durability and high-quality rotated barcodes.","Suitable for printing on uncoated and coated paper labels and tags","Ability to print up to speeds of 304mm/sec (12ips) and 152mm/sec (6ips) for rotated barcodes","Recommended for use in general purpose labeling, shipping and receiving, inventory tracking, warehousing and distribution, and retail labels and tags","Wax ribbons work best with paper materials when fast print speeds are required, and in applications with little to no exposure to chemicals or abrasion.","https://www.zebra.com/content/dam/zebra_dam/global/photography/product/0022/2300-ribbon-25.4core-900m-supplies-photography-product.jpg","S1","1-Open","","Production","","","",
"02300BK17045","322.680000","","EUR","Supplies","Barcode Supplies","Barcode Ribbons","Wax","2300Wax","2300 Wax","Supplies","Wax Ribbon, 170mmx450m, 2300; Standard, 25mm core, 12/box","Printing Supplies","The 2300 ribbon is a standard wax ribbon offering good durability and high-quality rotated barcodes.","Suitable for printing on uncoated and coated paper labels and tags","Ability to print up to speeds of 304mm/sec (12ips) and 152mm/sec (6ips) for rotated barcodes","Recommended for use in general purpose labeling, shipping and receiving, inventory tracking, warehousing and distribution, and retail labels and tags","Wax ribbons work best with paper materials when fast print speeds are required, and in applications with little to no exposure to chemicals or abrasion.","https://www.zebra.com/content/dam/zebra_dam/global/photography/product/0022/2300-ribbon-25.4core-450m-supplies-photography-product.jpg","S1","1-Open","","Production","","","",
"02300BK17090","322.860000","","EUR","Supplies","Barcode Supplies","Barcode Ribbons","Wax","2300Wax","2300 Wax","Supplies","Wax Ribbon, 170mmx900m, 2300; Standard, 25mm core, 6/box","Printing Supplies","The 2300 ribbon is a standard wax ribbon offering good durability and high-quality rotated barcodes.","Suitable for printing on uncoated and coated paper labels and tags","Ability to print up to speeds of 304mm/sec (12ips) and 152mm/sec (6ips) for rotated barcodes","Recommended for use in general purpose labeling, shipping and receiving, inventory tracking, warehousing and distribution, and retail labels and tags","Wax ribbons work best with paper materials when fast print speeds are required, and in applications with little to no exposure to chemicals or abrasion.","https://www.zebra.com/content/dam/zebra_dam/global/photography/product/0022/2300-ribbon-25.4core-900m-supplies-photography-product.jpg","S1","1-Open","","Production","","","",
"02300BK06090","208.920000","","EUR","Supplies","Barcode Supplies","Barcode Ribbons","Wax","2300Wax","2300 Wax","Supplies","TT RIBBON WAX 60mm 900M","Printing Supplies","Suitable for printing on uncoated and coated paper labels and tags","Excellent print quality when printing normal or rotated barcodes","Ability to print up to speeds of 304mm/sec (12ips) and 152mm/sec (6ips) for rotated barcodes","Excels when used with Zebra desktop printers","Recommended for use in general purpose labeling, shipping and receiving, inventory tracking, warehousing and distribution, and retail labels and tags","https://www.zebra.com/content/dam/zebra_dam/global/photography/product/0017/2300-ribbon-desktop-supplies-photography-product.jpg","S1","1-Open","","Production","","","",
