Part Number,List Price,MAP Price,Currency,Product Type,Product Category,Product Sub Category,Product Sub Category Type,Product Model/Type,Product Friendly Name,Item Type,Short Marketing Description,Marketing Product Type,Feature Bullet 1,Feature Bullet 2,Feature Bullet 3,Feature Bullet 4,Feature Bullet 5,Image URL,Discount Group,Product Access Code,Spec Sheet URL,Status,Upcoming EOL date,TAA Compliant,GTIN
"02300GS11007","47.160000","","EUR","Supplies","Barcode Supplies","Barcode Ribbons","Wax","2300Wax","2300 Wax","Supplies","Wax Ribbon, 110mmx74m, 2300; Standard, 12mm core, 12/box","Printing Supplies","The 2300 ribbon is a standard wax ribbon offering good durability and high-quality rotated barcodes.","Suitable for printing on uncoated and coated paper labels and tags","Ability to print up to speeds of 304mm/sec (12ips) and 152mm/sec (6ips) for rotated barcodes","Recommended for use in general purpose labeling, shipping and receiving, inventory tracking, warehousing and distribution, and retail labels and tags","Wax ribbons work best with paper materials when fast print speeds are required, and in applications with little to no exposure to chemicals or abrasion.","https://www.zebra.com/content/dam/zebra_dam/global/photography/product/0017/2300-ribbon-desktop-supplies-photography-product.jpg","S1","1-Open","","Production","","","",
"02300BK11045","208.920000","","EUR","Supplies","Barcode Supplies","Barcode Ribbons","Wax","2300Wax","2300 Wax","Supplies","Wax Ribbon, 110mmx450m, 2300; Standard, 25mm core, 12/box","Printing Supplies","The 2300 ribbon is a standard wax ribbon offering good durability and high-quality rotated barcodes.","Suitable for printing on uncoated and coated paper labels and tags","Ability to print up to speeds of 304mm/sec (12ips) and 152mm/sec (6ips) for rotated barcodes","Recommended for use in general purpose labeling, shipping and receiving, inventory tracking, warehousing and distribution, and retail labels and tags","Wax ribbons work best with paper materials when fast print speeds are required, and in applications with little to no exposure to chemicals or abrasion.","https://www.zebra.com/content/dam/zebra_dam/global/photography/product/0022/2300-ribbon-25.4core-450m-supplies-photography-product.jpg","S1","1-Open","","Production","","","",
"02300GS06407","27.480000","","EUR","Supplies","Barcode Supplies","Barcode Ribbons","Wax","2300Wax","2300 Wax","Supplies","Wax Ribbon, 64mmx74m, 2300; Standard, 12mm core, 12/box","Printing Supplies","The 2300 ribbon is a standard wax ribbon offering good durability and high-quality rotated barcodes.","Suitable for printing on uncoated and coated paper labels and tags","Ability to print up to speeds of 304mm/sec (12ips) and 152mm/sec (6ips) for rotated barcodes","Recommended for use in general purpose labeling, shipping and receiving, inventory tracking, warehousing and distribution, and retail labels and tags","Wax ribbons work best with paper materials when fast print speeds are required, and in applications with little to no exposure to chemicals or abrasion.","https://www.zebra.com/content/dam/zebra_dam/global/photography/product/0017/2300-ribbon-desktop-supplies-photography-product.jpg","S1","1-Open","","Production","","","",
"02300GS08407","34.800000","","EUR","Supplies","Barcode Supplies","Barcode Ribbons","Wax","2300Wax","2300 Wax","Supplies","Wax Ribbon, 84mmx74m, 2300; Standard, 12mm core, 12/box","Printing Supplies","The 2300 ribbon is a standard wax ribbon offering good durability and high-quality rotated barcodes.","Suitable for printing on uncoated and coated paper labels and tags","Ability to print up to speeds of 304mm/sec (12ips) and 152mm/sec (6ips) for rotated barcodes","Recommended for use in general purpose labeling, shipping and receiving, inventory tracking, warehousing and distribution, and retail labels and tags","Wax ribbons work best with paper materials when fast print speeds are required, and in applications with little to no exposure to chemicals or abrasion.","https://www.zebra.com/content/dam/zebra_dam/global/photography/product/0017/2300-ribbon-desktop-supplies-photography-product.jpg","S1","1-Open","","Production","","","",
"02300BK08345","157.440000","","EUR","Supplies","Barcode Supplies","Barcode Ribbons","Wax","2300Wax","2300 Wax","Supplies","Wax Ribbon, 83mmx450m, 2300; Standard, 25mm core, 12/box","Printing Supplies","The 2300 ribbon is a standard wax ribbon offering good durability and high-quality rotated barcodes.","Suitable for printing on uncoated and coated paper labels and tags","Ability to print up to speeds of 304mm/sec (12ips) and 152mm/sec (6ips) for rotated barcodes","Recommended for use in general purpose labeling, shipping and receiving, inventory tracking, warehousing and distribution, and retail labels and tags","Wax ribbons work best with paper materials when fast print speeds are required, and in applications with little to no exposure to chemicals or abrasion.","https://www.zebra.com/content/dam/zebra_dam/global/photography/product/0022/2300-ribbon-25.4core-450m-supplies-photography-product.jpg","S1","1-Open","","Production","","","",
"02300BK15645","296.160000","","EUR","Supplies","Barcode Supplies","Barcode Ribbons","Wax","2300Wax","2300 Wax","Supplies","Wax Ribbon, 156mmx450m, 2300; Standard, 25mm core, 12/box","Printing Supplies","The 2300 ribbon is a standard wax ribbon offering good durability and high-quality rotated barcodes.","Suitable for printing on uncoated and coated paper labels and tags","Ability to print up to speeds of 304mm/sec (12ips) and 152mm/sec (6ips) for rotated barcodes","Recommended for use in general purpose labeling, shipping and receiving, inventory tracking, warehousing and distribution, and retail labels and tags","Wax ribbons work best with paper materials when fast print speeds are required, and in applications with little to no exposure to chemicals or abrasion.","https://www.zebra.com/content/dam/zebra_dam/global/photography/product/0022/2300-ribbon-25.4core-450m-supplies-photography-product.jpg","S1","1-Open","","Production","","","",
"02300BK06045","114.000000","","EUR","Supplies","Barcode Supplies","Barcode Ribbons","Wax","2300Wax","2300 Wax","Supplies","TT RIBBON WAX 60MM 450M 5","Printing Supplies","The 2300 ribbon is a standard wax ribbon offering good durability and high-quality rotated barcodes.","Suitable for printing on uncoated and coated paper labels and tags","Ability to print up to speeds of 304mm/sec (12ips) and 152mm/sec (6ips) for rotated barcodes","Recommended for use in general purpose labeling, shipping and receiving, inventory tracking, warehousing and distribution, and retail labels and tags","Wax ribbons work best with paper materials when fast print speeds are required, and in applications with little to no exposure to chemicals or abrasion.","https://www.zebra.com/content/dam/zebra_dam/global/photography/product/0022/2300-ribbon-25.4core-40mm-450m-supplies-2-photography-product.jpg","S1","1-Open","","Production","","","",
"02300BK04045","75.840000","","EUR","Supplies","Barcode Supplies","Barcode Ribbons","Wax","2300Wax","2300 Wax","Supplies","Wax Ribbon, 40mmx450m, 2300; Standard, 25mm core, 12/box","Printing Supplies","The 2300 ribbon is a standard wax ribbon offering good durability and high-quality rotated barcodes.","Suitable for printing on uncoated and coated paper labels and tags","Ability to print up to speeds of 304mm/sec (12ips) and 152mm/sec (6ips) for rotated barcodes","Recommended for use in general purpose labeling, shipping and receiving, inventory tracking, warehousing and distribution, and retail labels and tags","Wax ribbons work best with paper materials when fast print speeds are required, and in applications with little to no exposure to chemicals or abrasion.","https://www.zebra.com/content/dam/zebra_dam/global/photography/product/0022/2300-ribbon-25.4core-40mm-450m-supplies-2-photography-product.jpg","S1","1-Open","","Production","","","",
"02300BK13145","248.880000","","EUR","Supplies","Barcode Supplies","Barcode Ribbons","Wax","2300Wax","2300 Wax","Supplies","Wax Ribbon, 131mmx450m, 2300; Standard, 25mm core, 12/box","Printing Supplies","The 2300 ribbon is a standard wax ribbon offering good durability and high-quality rotated barcodes.","Suitable for printing on uncoated and coated paper labels and tags","Ability to print up to speeds of 304mm/sec (12ips) and 152mm/sec (6ips) for rotated barcodes","Recommended for use in general purpose labeling, shipping and receiving, inventory tracking, warehousing and distribution, and retail labels and tags","Wax ribbons work best with paper materials when fast print speeds are required, and in applications with little to no exposure to chemicals or abrasion.","https://www.zebra.com/content/dam/zebra_dam/global/photography/product/0022/2300-ribbon-25.4core-450m-supplies-photography-product.jpg","S1","1-Open","","Production","","","",
"02300BK11030","142.200000","","EUR","Supplies","Barcode Supplies","Barcode Ribbons","Wax","2300Wax","2300 Wax","Supplies","Wax Ribbon, 110mmx300m, 2300; European Wax, 25mm core","Printing Supplies","The 2300 ribbon is a standard wax ribbon offering good durability and high-quality rotated barcodes.","Suitable for printing on uncoated and coated paper labels and tags","Ability to print up to speeds of 304mm/sec (12ips) and 152mm/sec (6ips) for rotated barcodes","Recommended for use in general purpose labeling, shipping and receiving, inventory tracking, warehousing and distribution, and retail labels and tags","Wax ribbons work best with paper materials when fast print speeds are required, and in applications with little to no exposure to chemicals or abrasion.","https://www.zebra.com/content/dam/zebra_dam/global/photography/product/0022/2300-ribbon-25.4core-300m-supplies-photography-product.jpg","S1","1-Open","","Production","","","",
